common_name,scientific_name,n_records,n_complete,has_data,rank
Winter Wren,Troglodytes hiemalis,1151,1038,0,479
American Flamingo,Phoenicopterus ruber,1249,992,0,480
Little Stint,Calidris minuta,1354,989,0,481
American Oystercatcher,Haematopus palliatus,1139,977,0,482
Buff-breasted Sandpiper,Calidris subruficollis,1161,941,0,483
Greater Sage-Grouse,Centrocercus urophasianus,1167,906,0,484
Bendire's Thrasher,Toxostoma bendirei,1009,903,0,485
Yellow-throated Vireo,Vireo flavifrons,1034,883,0,486
Bronze Mannikin,Spermestes cucullata,929,852,0,487
Curlew Sandpiper,Calidris ferruginea,974,813,0,488
White-eyed Vireo,Vireo griseus,947,798,0,489
Worm-eating Warbler,Helmitheros vermivorum,855,760,0,490
Snowy Owl,Bubo scandiacus,1107,757,0,491
Common Ringed Plover,Charadrius hiaticula,888,748,0,492
European Goldfinch,Carduelis carduelis,810,741,0,493
Emperor Goose,Anser canagicus,939,720,0,494
Thick-billed Longspur,Rhynchophanes mccownii,820,709,0,495
Parakeet Auklet,Aethia psittacula,820,692,0,496
Mexican Duck,Anas diazi,776,687,0,497
Field Sparrow,Spizella pusilla,781,682,0,498
Yellow-throated Warbler,Setophaga dominica,870,669,0,499
Hudsonian Godwit,Limosa haemastica,828,664,0,500
Philadelphia Vireo,Vireo philadelphicus,716,630,0,501
Cassin's Sparrow,Peucaea cassinii,759,629,0,502
Chilean Flamingo,Phoenicopterus chilensis,690,623,0,503
Blue-crowned Parakeet,Thectocercus acuticaudatus,742,612,0,504
American Tree Sparrow,Spizelloides arborea,679,609,0,505
Yellow-billed Cuckoo,Coccyzus americanus,740,603,0,506
Dusky Warbler,Phylloscopus fuscatus,722,602,0,507
Indian Peafowl,Pavo cristatus,693,598,0,508
Swallow-tailed Kite,Elanoides forficatus,723,596,0,509
Mourning Warbler,Geothlypis philadelphia,673,585,0,510
Oriental Turtle-Dove,Streptopelia orientalis,664,577,0,511
Great Crested Flycatcher,Myiarchus crinitus,704,576,0,512
Blue-headed Vireo,Vireo solitarius,695,569,0,513
Black-headed Gull,Chroicocephalus ridibundus,675,562,0,514
Louisiana Waterthrush,Parkesia motacilla,669,552,0,515
Ruffed Grouse,Bonasa umbellus,780,548,0,516
Bronzed Cowbird,Molothrus aeneus,645,545,0,517
Sharp-tailed Sandpiper,Calidris acuminata,682,544,0,518
Red-headed Woodpecker,Melanerpes erythrocephalus,587,516,0,519
Fulvous Whistling-Duck,Dendrocygna bicolor,589,515,0,520
Little Gull,Hydrocoloeus minutus,610,494,0,521
Black Swan,Cygnus atratus,611,488,0,522
Kentucky Warbler,Geothlypis formosa,625,482,0,523
Wood Stork,Mycteria americana,638,472,0,524
Eastern Wood-Pewee,Contopus virens,603,457,0,525
LeConte's Sparrow,Ammospiza leconteii,496,436,0,526
Black Vulture,Coragyps atratus,568,429,0,527
Olive-backed Pipit,Anthus hodgsoni,498,420,0,528
Vega Gull,Larus vegae,501,415,0,529
Red-necked Stint,Calidris ruficollis,497,409,0,530
Broad-tailed Hummingbird,Selasphorus platycercus,516,402,0,531
Monk Parakeet,Myiopsitta monachus,496,396,0,532
Wood Thrush,Hylocichla mustelina,481,389,0,533
Tropical Parula,Setophaga pitiayumi,405,364,0,534
Streak-backed Oriole,Icterus pustulatus,415,360,0,535
Roseate Spoonbill,Platalea ajaja,445,355,0,536
Blue-winged Warbler,Vermivora cyanoptera,429,349,0,537
Slaty-backed Gull,Larus schistisagus,436,346,0,538
Yellow-headed Caracara,Daptrius chimachima,435,343,0,539
Yellow-bellied Flycatcher,Empidonax flaviventris,391,336,0,540
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,396,323,0,541
Willow Warbler,Phylloscopus trochilus,405,323,0,542
Rustic Bunting,Emberiza rustica,383,321,0,543
Wood Sandpiper,Tringa glareola,386,319,0,544
Siberian Sand-Plover,Anarhynchus mongolus,426,314,0,545
Marsh Sandpiper,Tringa stagnatilis,397,312,0,546
White-winged Tern,Chlidonias leucopterus,518,309,0,547
